[g6k_env] chdir -> /home/pyjast1123/workspace/builds/g6k
[enum_sieve_server] dims 70..110 (41), files=369, beta=40, steps_mult=1, prefetch=2
[240/369] ENUM_SIEVE dim96 seed414 b1/GH=1.9923 t=2.26s (0.72 files/s)
[241/369] ENUM_SIEVE dim96 seed8012 b1/GH=2.1612 t=2.286s (0.72 files/s)
[242/369] ENUM_SIEVE dim96 seed860 b1/GH=2.0675 t=2.3s (0.72 files/s)
[243/369] ENUM_SIEVE dim96 seed970 b1/GH=2.0564 t=2.42s (0.71 files/s)
[244/369] ENUM_SIEVE dim97 seed0 b1/GH=1.9603 t=2.395s (0.71 files/s)
[245/369] ENUM_SIEVE dim97 seed1033 b1/GH=2.2061 t=2.378s (0.71 files/s)
[246/369] ENUM_SIEVE dim97 seed164 b1/GH=2.0244 t=2.38s (0.71 files/s)
[247/369] ENUM_SIEVE dim97 seed243 b1/GH=2.4065 t=2.326s (0.71 files/s)
[248/369] ENUM_SIEVE dim97 seed404 b1/GH=2.2047 t=2.296s (0.70 files/s)
[249/369] ENUM_SIEVE dim97 seed4198 b1/GH=2.1808 t=2.278s (0.70 files/s)
[250/369] ENUM_SIEVE dim97 seed510 b1/GH=2.2462 t=2.348s (0.70 files/s)
[251/369] ENUM_SIEVE dim97 seed7582 b1/GH=2.0317 t=2.294s (0.70 files/s)
[252/369] ENUM_SIEVE dim97 seed906 b1/GH=2.1562 t=2.299s (0.70 files/s)
[253/369] ENUM_SIEVE dim98 seed0 b1/GH=2.3532 t=2.412s (0.69 files/s)
[254/369] ENUM_SIEVE dim98 seed1 b1/GH=2.1714 t=2.387s (0.69 files/s)
[255/369] ENUM_SIEVE dim98 seed111 b1/GH=2.1222 t=2.4s (0.69 files/s)
[256/369] ENUM_SIEVE dim98 seed116 b1/GH=2.0679 t=2.394s (0.69 files/s)
[257/369] ENUM_SIEVE dim98 seed129 b1/GH=2.0492 t=2.388s (0.69 files/s)
[258/369] ENUM_SIEVE dim98 seed239 b1/GH=2.2646 t=2.383s (0.69 files/s)
[259/369] ENUM_SIEVE dim98 seed27 b1/GH=2.1554 t=2.375s (0.68 files/s)
