position,dimension,norm,seed,contestant,algorithm,subm_date,approx_factor,title_note
786,52,1722,45,Moon Sung Lee,Sieving,2010-11-29,0.92927,
787,52,1839,1,"Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt","BKZ,Other",2010-11-23,0.98459,
788,52,1906,0,"Antonio Campello, Joï¿½o Strapasson and Cristiano Torezzan","BKZ,Other",2010-10-11,1.01697,"BKZ with block size 15 on the original basis, and then BKZ with block size 30 on the result"
789,51,1588,1435,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-11-18,0.85577,
790,51,1685,190,Hayato Waki and Masaya Yasuda,"BKZ,Other",2016-06-7,0.90914,
791,51,1699,99,Walter White,Other,2013-09-24,0.91511,
792,51,1880,101,Malin Haque,BKZ,2013-04-24,1.01319,
793,51,1885,0,Dan Ding,"BKZ,Other",2013-02-18,1.01452,A genetic algorithm with a pre-reduction LLL.
794,50,1472,3203,Felix Fontein,"ENUM,BKZ",2012-08-8,0.80123,"I processed all challenge lattices with seeds from 0 to 9999 by first running BKZ with blocksize 20 and alpha = 1, and then enumeration (parallel, on three cores) to find a shortest vector. The overall time was approx. 22 hours, which means in average 7.9 seconds per lattice (Intel i5-2400 3.1 GHz). I found 72 vectors shorter than the current shortest one. The ones beside this one have the following norms (corresponding seeds are in brackets):<br />1499.69 (1784), 1515.84 (2526), 1560.05 (1530), 1564.74 (9118), 1572.24 (1822), 1579.75 (1215), 1580.24 (1790), 1585.23 (6034), 1595.77 (4172), 1596.28 (2608), 1607.71 (7871), 1610.27 (7117), 1614.37 (371), 1615.25 (7737), 617.91 (9778), 1618.63 (5470), 619.27 (6827), 619.61 (6559), 1620.66 (8202), 1628.11 (6293), 1629.54 (3864), 1629.91 (4376), 1630.87 (5356), 1631.02 (5955), 1631.10 (191), 1633.47 (1460), 1634.69 (5825), 1634.72 (1623), 1634.91 (911), 1635.09 (7784), 1637.30 (3052), 1638.45 (4561), 1641.64 (6213), 1644.45 (2251), 1646.70 (3218), 1646.74 (3112), 1648.56 (9358), 1650.17 (4996), 1650.38 (2099), 1650.81 (647), 1651.75 (8325), 1652.62 (3727), 1655.78 (6437), 1656.35 (4363), 1657.12 (6073), 1657.47 (5141), 1659.89 (2564), 1663.17 (4441), 1663.26 (736), 1663.37 (5581), 1664.27 (581), 1664.74 (1917), 1666.61 (2460), 1667.65 (3200), 1668.95 (5755), 1670.14 (1654), 1671.65 (484), 1671.77 (7894), 1673.09 (9728), 1673.11 (5733), 1673.28 (9741), 1673.60 (4488), 1674.72 (6580), 1675.21 (9510), 1676.06 (3688), 1676.07 (2075), 1677.94 (1893), 1678.40 (6318), 1678.50 (7200), 1678.68 (8925), 1678.87 (5366)"
795,50,1679,38,Moon Sung Lee,Sieving,2010-11-29,0.91602,
796,50,1803,6,"Michael Schneider, ï¿½zgï¿½r Dagdelen, Jan Reichelt","BKZ,Other",2010-11-22,0.98541,Time: 14 seconds
797,50,1847,2,Moon Sung Lee,Sieving,2010-10-25,1.01572,
798,50,1864,1,Michael Schneider,ENUM,2010-05-11,1.01312,fplll
799,50,1893,0,Michael Schneider,ENUM,2010-05-11,1.03084,fplll
