dim,seed,method,pipeline,norm,gh,norm_over_gh,log_det,file,status,error
87,4,lll,LLL,4609.853902240288,2373.5478231674124,1.942178648032719,602.549689082855,svp_dim87_seed4.txt,ok,
87,4,bkz20,20,4609.853902240288,2373.5478231674124,1.942178648032719,602.549689082855,svp_dim87_seed4.txt,ok,
87,4,bkz20_30,20+30,4609.853902240288,2373.5478231674124,1.942178648032719,602.549689082855,svp_dim87_seed4.txt,ok,
87,4,bkz20_30_40,20+30+40,4609.853902240288,2373.5478231674124,1.942178648032719,602.549689082855,svp_dim87_seed4.txt,ok,
87,6,lll,LLL,4724.398374396473,2377.6170523014716,1.987030825600522,602.6987148609561,svp_dim87_seed6.txt,ok,
87,6,bkz20,20,4724.398374396473,2377.6170523014716,1.987030825600522,602.6987148609561,svp_dim87_seed6.txt,ok,
87,6,bkz20_30,20+30,4724.398374396473,2377.6170523014716,1.987030825600522,602.6987148609561,svp_dim87_seed6.txt,ok,
87,6,bkz20_30_40,20+30+40,4724.398374396473,2377.6170523014716,1.987030825600522,602.6987148609561,svp_dim87_seed6.txt,ok,
87,15,lll,LLL,5170.526762332824,2379.721690130121,2.1727443103021447,602.7756921429834,svp_dim87_seed15.txt,ok,
87,15,bkz20,20,5158.202787793434,2379.721690130121,2.1675655641527514,602.7756921429834,svp_dim87_seed15.txt,ok,
87,15,bkz20_30,20+30,5158.202787793434,2379.721690130121,2.1675655641527514,602.7756921429834,svp_dim87_seed15.txt,ok,
87,15,bkz20_30_40,20+30+40,5158.202787793434,2379.721690130121,2.1675655641527514,602.7756921429834,svp_dim87_seed15.txt,ok,
87,295,lll,LLL,5310.318257882475,2385.730653775257,2.225866633133651,602.9950963365287,svp_dim87_seed295.txt,ok,
87,295,bkz20,20,5310.318257882475,2385.730653775257,2.225866633133651,602.9950963365287,svp_dim87_seed295.txt,ok,
87,295,bkz20_30,20+30,5195.603622294523,2385.730653775257,2.17778298404006,602.9950963365287,svp_dim87_seed295.txt,ok,
87,295,bkz20_30_40,20+30+40,5195.603622294523,2385.730653775257,2.17778298404006,602.9950963365287,svp_dim87_seed295.txt,ok,
87,606,lll,LLL,5194.76467224455,2371.268391238403,2.1907113894988353,602.4660986615959,svp_dim87_seed606.txt,ok,
87,606,bkz20,20,5143.11627323357,2371.268391238403,2.168930472921945,602.4660986615959,svp_dim87_seed606.txt,ok,
87,606,bkz20_30,20+30,5143.11627323357,2371.268391238403,2.168930472921945,602.4660986615959,svp_dim87_seed606.txt,ok,
87,606,bkz20_30_40,20+30+40,5143.11627323357,2371.268391238403,2.168930472921945,602.4660986615959,svp_dim87_seed606.txt,ok,
87,629,lll,LLL,5175.515046833505,2375.8826402292875,2.178354670891503,602.6352273815256,svp_dim87_seed629.txt,ok,
87,629,bkz20,20,5175.515046833505,2375.8826402292875,2.178354670891503,602.6352273815256,svp_dim87_seed629.txt,ok,
87,629,bkz20_30,20+30,5175.515046833505,2375.8826402292875,2.178354670891503,602.6352273815256,svp_dim87_seed629.txt,ok,
87,629,bkz20_30_40,20+30+40,5175.515046833505,2375.8826402292875,2.178354670891503,602.6352273815256,svp_dim87_seed629.txt,ok,
87,2488,lll,LLL,5204.9097014261415,2373.8368580983383,2.192614746742012,602.5602827215466,svp_dim87_seed2488.txt,ok,
87,2488,bkz20,20,5204.9097014261415,2373.8368580983383,2.192614746742012,602.5602827215466,svp_dim87_seed2488.txt,ok,
87,2488,bkz20_30,20+30,5204.9097014261415,2373.8368580983383,2.192614746742012,602.5602827215466,svp_dim87_seed2488.txt,ok,
87,2488,bkz20_30_40,20+30+40,5204.9097014261415,2373.8368580983383,2.192614746742012,602.5602827215466,svp_dim87_seed2488.txt,ok,
87,9651,lll,LLL,5042.92653129113,2385.308207642394,2.114161396474416,602.9796897071875,svp_dim87_seed9651.txt,ok,
87,9651,bkz20,20,5042.92653129113,2385.308207642394,2.114161396474416,602.9796897071875,svp_dim87_seed9651.txt,ok,
